Zip,Multiple Counties,County,Rate
45732,*,Hocking,0.0725
45732,*,Morgan,0.0725
45732,*,Perry,0.0725
45734,*,Monroe,0.0725
45734,*,Washington,0.0725
45735,*,Athens,0.0725
45735,*,Meigs,0.0725
45739,,Athens,0.0725
45740,,Athens,0.0725
45741,*,Meigs,0.0725
45741,*,Vinton,0.0725
45742,*,Athens,0.0725
45742,*,Washington,0.0725
45743,,Meigs,0.0725
45744,*,Morgan,0.0725
45744,*,Noble,0.0725
45744,*,Washington,0.0725
45745,*,Monroe,0.0725
45745,*,Noble,0.0725
45745,*,Washington,0.0725
45746,*,Noble,0.0725
45746,*,Washington,0.0725
45750,,Washington,0.0725
45760,*,Gallia,0.0725
45760,*,Meigs,0.0725
45761,,Athens,0.0725
45764,*,Athens,0.0725
45764,*,Hocking,0.0725
45766,*,Athens,0.0725
45766,*,Vinton,0.0725
45767,*,Monroe,0.0725
45767,*,Washington,0.0725
45768,,Washington,0.0725
45769,,Meigs,0.0725
45770,,Meigs,0.0725
45771,,Meigs,0.0725
45772,,Meigs,0.0725
45773,,Washington,0.0725
45775,,Meigs,0.0725
45776,*,Athens,0.0725
45776,*,Meigs,0.0725
45777,,Athens,0.0725
45778,,Athens,0.0725
45779,,Meigs,0.0725
45780,,Athens,0.0725
45782,,Athens,0.0725
45783,,Meigs,0.0725
45784,,Washington,0.0725
45786,*,Morgan,0.0725
45786,*,Washington,0.0725
45787,,Washington,0.0725
45788,,Washington,0.0725
45789,*,Monroe,0.0725
45789,*,Washington,0.0725
45801,,Allen,0.0685
45802,*,Allen,0.0685
45802,*,Auglaize,0.0725
45804,,Allen,0.0685
45805,,Allen,0.0685
45806,*,Allen,0.0685
45806,*,Auglaize,0.0725
45807,*,Allen,0.0685
45807,*,Putnam,0.07
45808,,Allen,0.0685
45809,,Allen,0.0685
45810,*,Allen,0.0685
45810,*,Hancock,0.0675
45810,*,Hardin,0.0725
45812,*,Allen,0.0685
45812,*,Hardin,0.0725
45813,*,Defiance,0.0675
