Zip,Multiple Counties,County,Rate
43723,,Guernsey,0.0725
43724,*,Guernsey,0.0725
43724,*,Morgan,0.0725
43724,*,Noble,0.0725
43725,,Guernsey,0.0725
43727,,Muskingum,0.0725
43728,*,Athens,0.0725
43728,*,Morgan,0.0725
43730,*,Morgan,0.0725
43730,*,Perry,0.0725
43731,*,Morgan,0.0725
43731,*,Perry,0.0725
43732,*,Guernsey,0.0725
43732,*,Muskingum,0.0725
43732,*,Noble,0.0725
43733,,Guernsey,0.0725
43734,,Muskingum,0.0725
43735,,Muskingum,0.0725
43736,,Guernsey,0.0725
43738,,Muskingum,0.0725
43739,*,Licking,0.0725
43739,*,Perry,0.0725
43740,*,Licking,0.0725
43740,*,Muskingum,0.0725
43746,*,Licking,0.0725
43746,*,Muskingum,0.0725
43747,*,Belmont,0.0725
43747,*,Monroe,0.0725
43748,,Perry,0.0725
43749,*,Coshocton,0.0775
43749,*,Guernsey,0.0725
43749,*,Tuscarawas,0.0675
43750,,Guernsey,0.0725
43752,,Monroe,0.0725
43754,,Monroe,0.0725
43755,,Guernsey,0.0725
43756,*,Morgan,0.0725
43756,*,Muskingum,0.0725
43757,,Monroe,0.0725
43758,*,Morgan,0.0725
43758,*,Perry,0.0725
43759,,Belmont,0.0725
43760,*,Licking,0.0725
43760,*,Muskingum,0.0725
43760,*,Perry,0.0725
43761,,Perry,0.0725
43762,*,Guernsey,0.0725
43762,*,Muskingum,0.0725
43764,,Perry,0.0725
43766,*,Hocking,0.0725
43766,*,Perry,0.0725
43767,,Muskingum,0.0725
